defect_id,zone,classification,centroid_x_px,centroid_y_px,width_px,area_px
img63_D1,Core,Pit/Dig,582.4552920842306,423.6130821332756,574.0,249363
img63_D2,Cladding,Pit/Dig,580.0,298.0,1.4142134189605713,5
img63_D3,Cladding,Pit/Dig,589.5,297.0,2.1213202476501465,8
img63_D4,Cladding,Pit/Dig,693.0,350.0,1.4142134189605713,5
img63_D5,Cladding,Pit/Dig,696.5,356.5,1.4142134189605713,8
img63_D6,Cladding,Pit/Dig,467.0,373.0,1.4142134189605713,5
img63_D7,Cladding,Pit/Dig,462.0,383.0,1.4142134189605713,5
img63_D8,Cladding,Pit/Dig,463.7391304347826,391.2173913043478,3.0,23
img63_D9,Cladding,Pit/Dig,706.0714285714286,391.85714285714283,9.192387580871582,42
img63_D10,Cladding,Pit/Dig,693.7,392.7,2.1213202476501465,10
img63_D11,Cladding,Pit/Dig,688.0,393.0,1.4142134189605713,5
img63_D12,Cladding,Pit/Dig,706.0,403.0,1.4142134189605713,5
img63_D13,Cladding,Scratch,710.2352941176471,411.88235294117646,7.071067810058594,17
img63_D14,Cladding,Pit/Dig,463.0,411.5,4.0249223709106445,10
img63_D15,Cladding,Pit/Dig,725.0,412.5,2.1213202476501465,8
img63_D16,Cladding,Pit/Dig,717.3913043478261,421.3478260869565,6.363961219787598,23
img63_D17,Cladding,Pit/Dig,454.0,421.0,1.4142134189605713,5
img63_D18,Cladding,Pit/Dig,457.6111111111111,426.6666666666667,2.5997347831726074,18
img63_D19,Cladding,Pit/Dig,461.0,438.0,1.4142134189605713,5
img63_D20,Cladding,Pit/Dig,695.8947368421053,440.4736842105263,5.366563320159912,19
img63_D21,Cladding,Pit/Dig,702.0,445.0,1.4142134189605713,5
img63_D22,Cladding,Pit/Dig,717.0,448.0,1.4142134189605713,5
img63_D23,Cladding,Pit/Dig,711.71875,458.875,5.646177768707275,32
img63_D24,Cladding,Pit/Dig,702.3,457.7,2.8284268379211426,10
img63_D25,Cladding,Pit/Dig,700.5,465.5,1.4142134189605713,8
img63_D26,Cladding,Pit/Dig,693.0,473.0,1.4142134189605713,5
img63_D27,Cladding,Pit/Dig,701.0,474.0,1.4142134189605713,5
img63_D28,Cladding,Pit/Dig,463.5,475.5,2.8284268379211426,12
img63_D29,Cladding,Pit/Dig,687.25,476.75,2.4961509704589844,16
img63_D30,Cladding,Pit/Dig,693.3,480.6,3.130495071411133,20
img63_D31,Cladding,Pit/Dig,702.5,479.5,2.8284268379211426,16
img63_D32,Cladding,Pit/Dig,680.0,488.0,1.4142134189605713,5
img63_D33,Cladding,Pit/Dig,685.25,492.5,5.656853675842285,16
img63_D34,Cladding,Pit/Dig,702.0,491.0,1.4142134189605713,5
img63_D35,Cladding,Pit/Dig,694.5,494.75,3.535533905029297,16
img63_D36,Cladding,Pit/Dig,688.0,499.0,1.4142134189605713,5
img63_D37,Cladding,Pit/Dig,686.0,505.0,1.4142134189605713,5
img63_D38,Cladding,Pit/Dig,679.3846153846154,510.53846153846155,2.236067771911621,13
img63_D39,Cladding,Pit/Dig,659.0,529.0,1.4142134189605713,5
img63_D40,Cladding,Pit/Dig,638.0,555.0,1.4142134189605713,5
