defect_id,zone,classification,centroid_x_px,centroid_y_px,width_px,area_px
19700101000654-J65548-FT49_D1,Core,Pit/Dig,607.3127907572825,414.0230491227621,638.0,312116
19700101000654-J65548-FT49_D2,Cladding,Pit/Dig,581.5,257.0,2.1213202476501465,8
19700101000654-J65548-FT49_D3,Cladding,Pit/Dig,609.2777777777778,283.72222222222223,5.656853675842285,18
19700101000654-J65548-FT49_D4,Cladding,Pit/Dig,581.0,284.0,1.4142134189605713,5
19700101000654-J65548-FT49_D5,Cladding,Pit/Dig,577.5,288.0,2.1213202476501465,12
19700101000654-J65548-FT49_D6,Cladding,Pit/Dig,588.2903225806451,290.19354838709677,4.52903938293457,31
19700101000654-J65548-FT49_D7,Cladding,Pit/Dig,628.0,287.0,1.4142134189605713,5
19700101000654-J65548-FT49_D8,Cladding,Pit/Dig,538.0,305.0,1.4142134189605713,5
19700101000654-J65548-FT49_D9,Cladding,Pit/Dig,519.5,316.5,1.4142134189605713,8
19700101000654-J65548-FT49_D10,Cladding,Pit/Dig,522.8333333333334,320.0,2.8284268379211426,12
19700101000654-J65548-FT49_D11,Cladding,Pit/Dig,515.4285714285714,322.07142857142856,2.683281421661377,14
19700101000654-J65548-FT49_D12,Cladding,Pit/Dig,522.5,328.0,2.1213202476501465,8
19700101000654-J65548-FT49_D13,Cladding,Pit/Dig,511.0,329.0,1.4142134189605713,5
19700101000654-J65548-FT49_D14,Cladding,Pit/Dig,714.3,356.7,2.8284268379211426,10
19700101000654-J65548-FT49_D15,Cladding,Pit/Dig,720.8333333333334,371.0,2.8284268379211426,12
19700101000654-J65548-FT49_D16,Cladding,Pit/Dig,486.5,376.5,1.4142134189605713,8
19700101000654-J65548-FT49_D17,Cladding,Pit/Dig,732.0,384.0,1.4142134189605713,5
19700101000654-J65548-FT49_D18,Cladding,Pit/Dig,477.0,386.0,1.4142134189605713,5
19700101000654-J65548-FT49_D19,Cladding,Pit/Dig,478.84615384615387,404.9230769230769,2.236067771911621,13
19700101000654-J65548-FT49_D20,Cladding,Pit/Dig,481.0,408.0,1.4142134189605713,5
19700101000654-J65548-FT49_D21,Cladding,Pit/Dig,475.0,410.0,1.4142134189605713,5
19700101000654-J65548-FT49_D22,Cladding,Pit/Dig,478.5,415.0,2.1213202476501465,8
19700101000654-J65548-FT49_D23,Cladding,Pit/Dig,448.0,430.5,2.1213202476501465,8
19700101000654-J65548-FT49_D24,Cladding,Pit/Dig,477.0,430.0,1.4142134189605713,5
19700101000654-J65548-FT49_D25,Cladding,Pit/Dig,484.0,431.0,1.4142134189605713,5
19700101000654-J65548-FT49_D26,Cladding,Pit/Dig,488.5,432.5,2.8284268379211426,8
19700101000654-J65548-FT49_D27,Cladding,Pit/Dig,483.0,436.0,1.4142134189605713,5
19700101000654-J65548-FT49_D28,Cladding,Pit/Dig,491.5,438.0,2.1213202476501465,8
19700101000654-J65548-FT49_D29,Cladding,Pit/Dig,488.0,452.0,2.8284268379211426,9
19700101000654-J65548-FT49_D30,Cladding,Pit/Dig,489.0,458.0,1.4142134189605713,5
19700101000654-J65548-FT49_D31,Cladding,Pit/Dig,512.5,491.0,2.1213202476501465,8
19700101000654-J65548-FT49_D32,Cladding,Pit/Dig,532.0769230769231,514.0769230769231,3.535533905029297,13
19700101000654-J65548-FT49_D33,Cladding,Pit/Dig,550.0,524.0,1.4142134189605713,5
19700101000654-J65548-FT49_D34,Cladding,Pit/Dig,561.0769230769231,523.7692307692307,4.242640495300293,13
19700101000654-J65548-FT49_D35,Cladding,Pit/Dig,565.0,529.0,1.4142134189605713,5
19700101000654-J65548-FT49_D36,Cladding,Pit/Dig,567.0,534.0,1.4142134189605713,5
19700101000654-J65548-FT49_D37,Cladding,Pit/Dig,556.0,536.0,1.4142134189605713,5
19700101000654-J65548-FT49_D38,Cladding,Pit/Dig,574.0,539.0,1.4142134189605713,5
