defect_id,zone,classification,centroid_x_px,centroid_y_px,width_px,area_px
19700101030921-J65535FT21_D1,Core,Pit/Dig,576.2511146935084,422.53285888412694,574.0,254330
19700101030921-J65535FT21_D2,Cladding,Pit/Dig,575.0,290.0,1.4142134189605713,5
19700101030921-J65535FT21_D3,Cladding,Pit/Dig,549.3529411764706,293.2352941176471,4.949747085571289,17
19700101030921-J65535FT21_D4,Cladding,Pit/Dig,562.0,292.0,1.4142134189605713,5
19700101030921-J65535FT21_D5,Cladding,Pit/Dig,568.7222222222222,293.5,2.8284268379211426,18
19700101030921-J65535FT21_D6,Cladding,Pit/Dig,582.0,291.0,1.4142134189605713,5
19700101030921-J65535FT21_D7,Cladding,Pit/Dig,558.0,294.0,1.4142134189605713,5
19700101030921-J65535FT21_D8,Cladding,Pit/Dig,586.0,296.0,1.4142134189605713,5
19700101030921-J65535FT21_D9,Cladding,Pit/Dig,457.2142857142857,362.5,4.949747085571289,14
19700101030921-J65535FT21_D10,Cladding,Pit/Dig,452.0,370.0,1.4142134189605713,5
19700101030921-J65535FT21_D11,Cladding,Pit/Dig,456.0,370.0,1.4142134189605713,5
19700101030921-J65535FT21_D12,Cladding,Pit/Dig,448.3818181818182,383.8363636363636,6.708203315734863,55
19700101030921-J65535FT21_D13,Cladding,Pit/Dig,697.0952380952381,392.3809523809524,7.0601806640625,21
19700101030921-J65535FT21_D14,Cladding,Pit/Dig,704.0,393.0,1.4142134189605713,5
19700101030921-J65535FT21_D15,Cladding,Pit/Dig,443.0,421.0,1.4142134189605713,5
19700101030921-J65535FT21_D16,Cladding,Pit/Dig,699.5,423.5,1.8973664045333862,10
19700101030921-J65535FT21_D17,Cladding,Pit/Dig,434.0,426.0,1.4142134189605713,5
19700101030921-J65535FT21_D18,Cladding,Pit/Dig,434.0,430.5,2.1213202476501465,8
19700101030921-J65535FT21_D19,Cladding,Pit/Dig,441.0,431.0,1.4142134189605713,5
19700101030921-J65535FT21_D20,Cladding,Pit/Dig,700.84,439.28,4.242640495300293,25
19700101030921-J65535FT21_D21,Cladding,Pit/Dig,699.0,452.0,1.4142134189605713,5
19700101030921-J65535FT21_D22,Cladding,Pit/Dig,696.0,458.0,1.4142134189605713,5
19700101030921-J65535FT21_D23,Cladding,Pit/Dig,451.1578947368421,461.57894736842104,4.242640495300293,19
19700101030921-J65535FT21_D24,Cladding,Pit/Dig,641.0,530.0,1.4142134189605713,5
19700101030921-J65535FT21_D25,Cladding,Pit/Dig,633.5384615384615,534.9230769230769,5.269651889801025,13
