defect_id,zone,classification,centroid_x_px,centroid_y_px,width_px,area_px
19700101000416-j65532FT35_D1,Core,Pit/Dig,603.1240198691356,344.04124854187427,578.0,258894
19700101000416-j65532FT35_D2,Cladding,Pit/Dig,590.0,222.0,1.4142134189605713,5
19700101000416-j65532FT35_D3,Cladding,Pit/Dig,581.0,223.0,1.4142134189605713,5
19700101000416-j65532FT35_D4,Cladding,Pit/Dig,597.0,223.0,1.4142134189605713,5
19700101000416-j65532FT35_D5,Cladding,Pit/Dig,619.0,224.0,1.4142134189605713,5
19700101000416-j65532FT35_D6,Cladding,Scratch,569.5151515151515,227.1818181818182,4.118439674377441,33
19700101000416-j65532FT35_D7,Cladding,Pit/Dig,556.0,230.0,2.8284268379211426,11
19700101000416-j65532FT35_D8,Cladding,Pit/Dig,518.0,256.5,2.1213202476501465,8
19700101000416-j65532FT35_D9,Cladding,Pit/Dig,490.3095238095238,301.07142857142856,6.002450466156006,42
19700101000416-j65532FT35_D10,Cladding,Pit/Dig,487.7142857142857,310.2857142857143,4.242640495300293,21
19700101000416-j65532FT35_D11,Cladding,Pit/Dig,482.3,314.3,2.1213202476501465,10
19700101000416-j65532FT35_D12,Cladding,Pit/Dig,489.0,317.5,3.535533905029297,12
19700101000416-j65532FT35_D13,Cladding,Pit/Dig,489.0,323.0,2.8284268379211426,11
19700101000416-j65532FT35_D14,Cladding,Pit/Dig,479.5,325.5,2.8284268379211426,8
19700101000416-j65532FT35_D15,Cladding,Pit/Dig,480.4,335.64,3.0508511066436768,25
19700101000416-j65532FT35_D16,Cladding,Pit/Dig,478.0,346.0,1.4142134189605713,5
19700101000416-j65532FT35_D17,Cladding,Pit/Dig,483.0,351.0,1.4142134189605713,5
19700101000416-j65532FT35_D18,Cladding,Pit/Dig,480.55555555555554,356.22222222222223,5.656853675842285,27
19700101000416-j65532FT35_D19,Cladding,Pit/Dig,487.5,356.0,2.1213202476501465,12
19700101000416-j65532FT35_D20,Cladding,Pit/Dig,486.5,361.5,2.8284268379211426,12
19700101000416-j65532FT35_D21,Cladding,Pit/Dig,481.0,372.0,1.4142134189605713,5
19700101000416-j65532FT35_D22,Cladding,Pit/Dig,500.5,415.0,3.535533905029297,12
19700101000416-j65532FT35_D23,Cladding,Pit/Dig,505.5,423.0,2.1213202476501465,8
19700101000416-j65532FT35_D24,Cladding,Pit/Dig,518.8125,433.875,2.683281421661377,16
19700101000416-j65532FT35_D25,Cladding,Pit/Dig,525.0,439.0,1.4142134189605713,5
19700101000416-j65532FT35_D26,Cladding,Pit/Dig,527.5,443.5,1.4142134189605713,8
19700101000416-j65532FT35_D27,Cladding,Pit/Dig,534.5,447.0,2.1213202476501465,8
19700101000416-j65532FT35_D28,Contact,Pit/Dig,655.7,615.3,2.8284268379211426,10
