defect_id,zone,classification,confidence_score,centroid_x_px,centroid_y_px,length_px,width_px,area_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,rotated_rect_center_px,rotated_rect_angle_deg
D1,Cladding,Pit/Dig,0.26456528662904477,578.1325682099006,419.10592618154425,338.0,336.0,89833,409,251,339,337,"(578.0, 419.0)",90.0
D4,Cladding,Pit/Dig,0.023930705833520277,580.2727674396657,418.1205140744172,222.73863220214844,222.73863220214844,38853,470,297,222,233,"(580.0000610351562, 418.5)",45.0
D7,Cladding,Scratch,0.09772504091653048,445.41818181818184,464.2060606060606,24.033309936523438,3.1622776985168457,27,442,453,8,24,"(445.1999816894531, 464.6000671386719)",161.56505584716797
D3,Cladding,Scratch,0.07539215686274503,553.1293532338308,299.51243781094524,16.02777862548828,4.733592510223389,33,544,297,17,6,"(552.1138916015625, 299.8655090332031)",85.2363510131836
D10,Cladding,Scratch,0.050435897435897346,615.3194444444445,504.7291666666667,13.0,4.0,24,607,503,14,5,"(613.5, 505.0)",90.0
D6,Cladding,Scratch,0.06591386554621835,653.5666666666666,321.375,12.0,3.0,20,648,320,13,4,"(654.0, 321.5)",90.0
D8,Cladding,Scratch,0.01995418098510896,544.9247311827957,461.06451612903226,10.0,3.0,15,539,459,11,4,"(544.0, 460.5)",90.0
D9,Cladding,Scratch,0.05381708238851104,484.6,492.56666666666666,10.0,3.0,15,479,491,11,4,"(484.0, 492.5)",90.0
D5,Cladding,Pit/Dig,0.07408163265306116,535.9929078014184,302.26950354609926,9.0,4.0,23,531,300,10,5,"(535.5, 302.0)",90.0
D2,Cladding,Pit/Dig,0.174847104749512,620.5897435897435,298.4102564102564,7.0,7.0,45,617,295,8,8,"(620.5, 298.5)",90.0
D11,Cladding,Pit/Dig,0.03866454689984096,518.0877192982456,529.9298245614035,6.0,2.0,9,517,527,3,7,"(518.0, 530.0)",0.0
